donor-name,value,recipient-name,party-group,period,donor-id,recipient-id,donor-state,donor-address,donor-postcode,donor-category
26 Summers Pty Ltd,150000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
26 Summers Pty Ltd,50000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
26 Summers Pty Ltd,15000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
26 Summers Pty Ltd,5000,#Sustainable Australia,#Sustainable Australia,2015-2016,29977,27917,VIC,69 St Vincent Place South Albert Park,3206,Uncategorised
Empire State Holdings Pty Ltd,14190,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
Empire State Holdings Pty Ltd,13000,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
Empire State Holdings Pty Ltd,12839,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
Empire State Holdings Pty Ltd,7260,#Sustainable Australia,#Sustainable Australia,2015-2016,36549,27917,VIC,"C/- Jeffrey Thomas & Partners 10th Floor, 446 Collins Street",3000,Uncategorised
James Management Services Pty Ltd,100000,#Sustainable Australia,#Sustainable Australia,2015-2016,36548,27917,NSW,17 Dunois Street,2066,Uncategorised
Rufolo Pty Ltd,300000,#Sustainable Australia,#Sustainable Australia,2015-2016,36550,27917,VIC,7 Shakespeare Grove,3122,Uncategorised
Personnel Contracting Pty Ltd,20000,Australian Christians,Australian Christians,2015-2016,28348,29723,WA,64 Canning Hwy,6100,Uncategorised
INTERMINE.COM.AU PTY LTD,99999,Australian Equality Party (Marriage),Australian Equality Party (Marriage),2015-2016,36545,33350,NSW,"Suite 1D, Governor Phillip Tower 23/1 Farrer Place",2000,Technology
Electrical Trades Union of Australia - Victorian Branch,272727,Australian Greens,Greens,2015-2016,29172,32,VIC,"Level 1, 200 Arden Street",3051,Unions
Electrical Trades Union of Australia - Victorian Branch,20000,Australian Greens,Greens,2015-2016,29172,32,VIC,"Level 1, 200 Arden Street",3051,Unions
Estate of Louise Mary Crossley,60000,Australian Greens,Greens,2015-2016,36556,32,TAS,c/- 8/16 Main Street,7109,Individual
Estate of Louise Mary Crossley,40000,Australian Greens,Greens,2015-2016,36556,32,TAS,c/- 8/16 Main Street,7109,Individual
Ms Anna Hackett,100000,Australian Greens,Greens,2015-2016,36862,32,,,,Individual
ms Judith Cullity,20000,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,65,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
ms Judith Cullity,10,Australian Greens,Greens,2015-2016,33418,32,,,,Individual
Ms Ruth Greble,100,Australian Greens,Greens,2015-2016,33004,32,,,,Individual
Ms Ruth Greble,75,Australian Greens,Greens,2015-2016,33004,32,,,,Individual
Mr Graeme Wood,130000,"Australian Greens, Tasmanian Branch",Greens,2015-2016,36505,138,,,,Individual
Barbara Trauer,9900,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,3000,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,2000,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,250,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,150,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,135,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,50,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,25,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
Barbara Trauer,20,"Australian Greens, Victorian Branch",Greens,2015-2016,36865,27964,,,,Individual
MINAX URIEL PL,10000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,10000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,5000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,5000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,2500,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,1300,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
MINAX URIEL PL,1000,"Australian Greens, Victorian Branch",Greens,2015-2016,33402,27964,VIC,PO Box 340,3162,Individual
